Carreira;portar arma, distintivo e algemas;atender sempre, com urbanidade e eficiência, o público em geral, pessoalmente ou por telefone;elaborar, sob orientação da Autoridade Policial, registro de ocorrência;conduzir viatura policial;cumprir diligência e/ou requisição determinada pela Autoridade Policial, elaborando relatório respectivo;proceder à abordagem de pessoas suspeitas da prática de ilícitos, realizando busca pessoal quando necessário;identificar pessoas, inclusive por meio digital, nas hipóteses em que tal providência se faça necessária;conduzir e apresentar pessoas legalmente presas à Autoridade Policial competente ou onde for por ela determinado;auxiliar a Autoridade Policial na formalização de atos de polícia judiciária;operar os sistemas de comunicação e de dados da Polícia Civil
Delegado de Polícia;1;1;1;1;1;1;1;1;1;1
Escrivão de Polícia;1;1;1;1;1;1;1;1;1;1
Investigador de Polícia;1;1;1;1;1;1;1;1;1;1
Perito Criminal;1;1;1;1;1;1;1;1;1;1
Médico Legista;1;1;1;1;1;1;1;1;1;1
Papiloscopista Policial;1;1;1;1;1;1;1;1;1;1
Auxiliar de Papiloscopista Policial;1;1;1;1;1;1;1;1;1;1
Agente de Telecomunicações Policial;1;1;1;1;1;1;1;1;1;1
Agente Policial;1;1;1;1;1;1;1;1;1;1
Carcereiro Policial;1;1;1;1;1;1;1;1;1;1
Fotógrafo Técnico Pericial;1;1;1;1;1;1;1;1;1;1
Desenhista Técnico Pericial;1;1;1;1;1;1;1;1;1;1
Auxiliar de Necrópsia Policial;1;1;1;1;1;1;1;1;1;1
Atendente de Necrotério Policial;1;1;1;1;1;1;1;1;1;1
