Carreira;portar arma, distintivo e algemas;atender sempre, com urbanidade e eficiência, o público em geral, pessoalmente ou por telefone;elaborar, sob orientação da Autoridade Policial, registro de ocorrência;conduzir viatura policial;cumprir diligência e/ou requisição determinada pela Autoridade Policial, elaborando relatório respectivo;proceder à abordagem de pessoas suspeitas da prática de ilícitos, realizando busca pessoal quando necessário;identificar pessoas, inclusive por meio digital, nas hipóteses em que tal providência se faça necessária;Fiscalizar locais;Verificar horários;Fiscalizar cultura;Notificar Infratores e Lavrar Autos;Tarefas de escritório;exames com ciências naturais;autópsias e exames necroscópicos;exames em vivos;Identificação Papiloscópica Antiga;Tomada Papiloscópica Antiga;Registro de Sinais Corporais;Manutenção Material Papiloscópico;Manusear rádio;Conservar rádio;Manutenção de Viatura;Funções de Carcereiro;fotografar ocorrências diversas de perícia da SPTC;trabalhar fotografias de qualquer tipo relacionadas a perícia SPTC;realizar levantamento de local com desenhos e fotos;manuseio do cadáver em laboratório;manipulação de ossos e partes do corpo
Delegado de Polícia;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Fiscal de Diversões Públicas;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Perito Criminal;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Médico Legista;1;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0
Pesquisador Datiloscópico;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;1;1;0;0;0;0;0
Datiloscopista;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0
Radiotelegrafista;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Motorista;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Guarda de Presídio;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0
Fotógrafo;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0
Desenhista;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0
Auxiliar de Autópsia;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;1
