Portaria DGP 30 / 2012;Atual Sem Correção;Atual Com Correção;LONPC Sem Correção;LONPC Com Correção;Reestruturação 2024;Reestruturação Reunião 1 2025;Reestruturação Reunião 2 2025;Decreto 47788 / 1967
Delegado de Polícia;Delegado de Polícia;Delegado de Polícia;Delegado de Polícia;Delegado de Polícia;Delegado de Polícia;Delegado de Polícia;Delegado de Polícia;Delegado de Polícia
Escrivão de Polícia;Escrivão de Polícia;Escrivão de Polícia;Oficial Investigador de Polícia;Oficial Investigador de Polícia;Escrivão de Polícia;Oficial Investigador de Polícia - Especialista Cartorário;Oficial Investigador de Polícia;Fiscal de Diversões Públicas
Investigador de Polícia;Investigador de Polícia;Investigador de Polícia (+ Agente de Telecomunicações Policial + Agente Policial + Carcereiro Policial);Oficial Investigador de Polícia;Oficial Investigador de Polícia;Oficial Investigador de Polícia;Oficial Investigador de Polícia - Especialista Investigativo;Oficial Investigador de Polícia;Fiscal de Diversões Públicas
Perito Criminal;Perito Criminal;Perito Criminal;Perito Criminal;Perito Criminal;Perito Criminal;Perito Oficial Criminal - Especialista Perícia Criminalística;Perito Oficial Criminal;Perito Criminal
Médico Legista;Médico Legista;Médico Legista;Médico Legista;Médico Legista;Médico Legista;Perito Oficial Criminal - Especialista Técnico Medicina Legal;Perito Oficial Criminal;Médico Legista
Papiloscopista Policial;Papiloscopista Policial;Papiloscopista Policial;Perito Papiloscopista;Perito Papiloscopista;Papiloscopista Policial;Analista de Polícia Judiciária;Analista de Identificação Policial;Pesquisador Datiloscópico
Auxiliar de Papiloscopista Policial;Auxiliar de Papiloscopista Policial;Auxiliar de Papiloscopista Policial;Agente de Perícia Papiloscópica;Agente de Perícia Papiloscópica;Papiloscopista Policial;Agente de Polícia Judiciária;Analista de Identificação Policial;Datiloscopista
Agente de Telecomunicações Policial;Agente de Telecomunicações Policial;Investigador de Polícia (+ Agente de Telecomunicações Policial + Agente Policial + Carcereiro Policial);Oficial Investigador de Polícia;Oficial Investigador de Polícia;Agente de Polícia Judiciária;Analista de Polícia Judiciária;Agente de Polícia Judiciária;Radiotelegrafista
Agente Policial;Agente Policial;Investigador de Polícia (+ Agente de Telecomunicações Policial + Agente Policial + Carcereiro Policial);Oficial Investigador de Polícia;Oficial Investigador de Polícia;Agente de Polícia Judiciária;Agente de Polícia Judiciária;Agente de Polícia Judiciária;Motorista
Carcereiro Policial;Carcereiro Policial;Investigador de Polícia (+ Agente de Telecomunicações Policial + Agente Policial + Carcereiro Policial);Oficial Investigador de Polícia;Oficial Investigador de Polícia;Agente de Polícia Judiciária;Agente de Polícia Judiciária;Agente de Polícia Judiciária;Guarda de Presídio
Fotógrafo Técnico Pericial;Fotógrafo Técnico Pericial;Fotógrafo Técnico Pericial;Agente de Perícia Criminalística;Agente de Perícia Criminalística;Agente de Perícia Criminalística;Oficial de Perícia Criminal - Especialista Perícia Criminalística;Oficial de Perícia Criminal;Fotógrafo
Desenhista Técnico Pericial;Desenhista Técnico Pericial;Desenhista Técnico Pericial;Agente de Perícia Criminalística;Agente de Perícia Criminalística;Agente de Perícia Criminalística;Oficial de Perícia Criminal - Especialista Perícia Criminalística;Oficial de Perícia Criminal;Desenhista
Auxiliar de Necrópsia Policial;Auxiliar de Necrópsia Policial;Auxiliar de Necrópsia Policial;Agente de Perícia Médico Legal;Agente de Perícia Médico Legal;Agente de Perícia Médico Legal;Oficial de Perícia Criminal - Especialista Técnico Medicina Legal;Oficial de Perícia Criminal;Auxiliar de Autópsia
Atendente de Necrotério Policial;Atendente de Necrotério Policial;Atendente de Necrotério Policial;Agente de Perícia Médico Legal;Agente de Perícia Médico Legal;Agente de Perícia Médico Legal;Oficial de Perícia Criminal - Especialista Técnico Medicina Legal;Oficial de Perícia Criminal;Auxiliar de Autópsia
