UID,Atribuições Comuns (2012),Delegado de Polícia (2023),Escrivão de Polícia (2023),Investigador de Polícia (2023),Perito Criminal (2023),Médico Legista (2023),Papiloscopista Policial (2017),Auxiliar de Papiloscopista Policial (2017),Agente de Telecomunicações Policial (2017),Agente Policial (2017),Carcereiro Policial (2013),Fotógrafo Técnico Pericial (2013),Desenhista Técnico Pericial (2013),Auxiliar de Necropsia (2013),Atendente de Necrotério (2013),Assessoramento Papiloscopico (2023),Escrivão (1967),Investigador (1967),Fiscal Diversões Públicas (1967),Perito Criminal (1967),Medico Legista (1967),Pesquisador Datiloscopico (1967),Datiloscopista (1967),Radiotelegrafista (1967),Motorista (1967),Guarda de Presídio (1967),Fotógrafo (1967),Desenhista (1967),Auxiliar de Autópsia (1967)
Atribuições Comuns (2012),1.0,0.9133472442626953,0.925358772277832,0.9427220821380615,0.9079799056053162,0.9094573259353638,0.9042354822158813,0.9310012459754944,0.8851067423820496,0.9230228662490845,0.5736531615257263,0.8622223734855652,0.8993690609931946,0.8342766165733337,0.8724735379219055,0.93701171875,0.8722496628761292,0.8831295967102051,0.878638744354248,0.8420091867446899,0.7690659165382385,0.8510724902153015,0.8503809571266174,0.7800657153129578,0.6846871376037598,0.8870037198066711,0.7924938201904297,0.7261500954627991,0.7991419434547424
Delegado de Polícia (2023),0.9133472442626953,1.0,0.946101725101471,0.9640024304389954,0.8958823084831238,0.9168901443481445,0.8745365142822266,0.9089812636375427,0.8703517913818359,0.9297347664833069,0.5954139828681946,0.8462212085723877,0.9159236550331116,0.825477659702301,0.8450156450271606,0.9034455418586731,0.893049418926239,0.9271869659423828,0.8675403594970703,0.845555305480957,0.8081947565078735,0.8407717347145081,0.7998554706573486,0.7434002161026001,0.641808807849884,0.8855969309806824,0.7660444378852844,0.6987038254737854,0.7724709510803223
Escrivão de Polícia (2023),0.925358772277832,0.946101725101471,1.0,0.9842283129692078,0.9044585824012756,0.9647714495658875,0.9053888916969299,0.9524081349372864,0.9183409214019775,0.966923177242279,0.6623198390007019,0.8573741912841797,0.9074467420578003,0.8341307640075684,0.8503437638282776,0.9309373497962952,0.8897963166236877,0.8973992466926575,0.8880029916763306,0.8725646138191223,0.7914585471153259,0.8657405972480774,0.8142884969711304,0.7772909998893738,0.7027404308319092,0.9162936210632324,0.800194263458252,0.7281211018562317,0.7992334365844727
Investigador de Polícia (2023),0.9427220821380615,0.9640024304389954,0.9842283129692078,1.0,0.9067278504371643,0.95879065990448,0.9042326211929321,0.9466798305511475,0.9066579937934875,0.9681254029273987,0.6165788173675537,0.8697939515113831,0.9272793531417847,0.8493919372558594,0.8797159790992737,0.9304338693618774,0.9043834805488586,0.9200335741043091,0.8791765570640564,0.8648943305015564,0.7947887182235718,0.8534568548202515,0.8275805711746216,0.777044415473938,0.6986411213874817,0.91813063621521,0.7960522174835205,0.7159554958343506,0.803790807723999
Perito Criminal (2023),0.9079799056053162,0.8958823084831238,0.9044585824012756,0.9067278504371643,1.0,0.9352381825447083,0.9687639474868774,0.9431658983230591,0.9002131223678589,0.8709999322891235,0.5836055874824524,0.9439351558685303,0.9497601985931396,0.9222208261489868,0.9179515838623047,0.9583320617675781,0.8587456941604614,0.8743661046028137,0.9051722288131714,0.9007009863853455,0.8304712772369385,0.8593220710754395,0.8894142508506775,0.7959806323051453,0.770383894443512,0.8651741147041321,0.8836607933044434,0.8003498911857605,0.8970822095870972
Médico Legista (2023),0.9094573259353638,0.9168901443481445,0.9647714495658875,0.95879065990448,0.9352381825447083,1.0,0.9230684638023376,0.9479647874832153,0.908669114112854,0.9356396198272705,0.6409541964530945,0.8932965397834778,0.9177207350730896,0.8808677196502686,0.8657904267311096,0.9374726414680481,0.8717992901802063,0.8760942220687866,0.8800413012504578,0.8847787976264954,0.8591025471687317,0.8509553670883179,0.8325937390327454,0.7656043171882629,0.6965561509132385,0.8848296999931335,0.8006821274757385,0.7149539589881897,0.8149980902671814
Papiloscopista Policial (2017),0.9042354822158813,0.8745365142822266,0.9053888916969299,0.9042326211929321,0.9687639474868774,0.9230684638023376,1.0,0.9651737213134766,0.9151721596717834,0.8723567128181458,0.6077489256858826,0.9353973269462585,0.939883828163147,0.9308896064758301,0.9114788770675659,0.9633606672286987,0.8614150285720825,0.8659868240356445,0.9178819060325623,0.8932143449783325,0.8067119717597961,0.8896132111549377,0.922380268573761,0.843780517578125,0.7775043845176697,0.8770659565925598,0.9146115183830261,0.8375126123428345,0.9075253009796143
Auxiliar de Papiloscopista Policial (2017),0.9310012459754944,0.9089812636375427,0.9524081349372864,0.9466798305511475,0.9431658983230591,0.9479647874832153,0.9651737213134766,1.0,0.9351025223731995,0.9346538782119751,0.6665340065956116,0.8995051980018616,0.9233260750770569,0.8897496461868286,0.8796945214271545,0.962510347366333,0.8852711915969849,0.8828030228614807,0.9167142510414124,0.8809615969657898,0.7860464453697205,0.9161933064460754,0.8945925235748291,0.8400254249572754,0.7268564105033875,0.9024327397346497,0.8795751929283142,0.8037004470825195,0.8703486323356628
Agente de Telecomunicações Policial (2017),0.8851067423820496,0.8703517913818359,0.9183409214019775,0.9066579937934875,0.9002131223678589,0.908669114112854,0.9151721596717834,0.9351025223731995,1.0,0.9157000780105591,0.6284028887748718,0.8688827753067017,0.8803538084030151,0.8546860814094543,0.8598816394805908,0.9163464307785034,0.8144575357437134,0.8283476233482361,0.8921765089035034,0.8247680068016052,0.7294101715087891,0.8404030203819275,0.864068329334259,0.8058590888977051,0.7257757186889648,0.8698771595954895,0.8441303968429565,0.7775391340255737,0.8394366502761841
Agente Policial (2017),0.9230228662490845,0.9297347664833069,0.966923177242279,0.9681254029273987,0.8709999322891235,0.9356396198272705,0.8723567128181458,0.9346538782119751,0.9157000780105591,1.0,0.663895845413208,0.8397263288497925,0.8849275708198547,0.827296793460846,0.8410056829452515,0.894001841545105,0.8926271796226501,0.8819912075996399,0.8790566325187683,0.8513235449790955,0.767453134059906,0.8505425453186035,0.7832352519035339,0.7807103991508484,0.7003940343856812,0.9171186685562134,0.7774786353111267,0.7060683369636536,0.789648711681366
