UID,Atribuições Comuns (2012),Delegado de Polícia (2023),Escrivão de Polícia (2023),Investigador de Polícia (2023),Perito Criminal (2023),Médico Legista (2023),Papiloscopista Policial (2017),Auxiliar de Papiloscopista Policial (2017),Agente de Telecomunicações Policial (2017),Agente Policial (2017),Carcereiro Policial (2013),Fotógrafo Técnico Pericial (2013),Desenhista Técnico Pericial (2013),Auxiliar de Necropsia (2013),Atendente de Necrotério (2013),Assessoramento Papiloscopico (2023),Escrivão (1967),Investigador (1967),Fiscal Diversões Públicas (1967),Perito Criminal (1967),Medico Legista (1967),Pesquisador Datiloscopico (1967),Datiloscopista (1967),Radiotelegrafista (1967),Motorista (1967),Guarda de Presídio (1967),Fotógrafo (1967),Desenhista (1967),Auxiliar de Autópsia (1967)
Atribuições Comuns (2012),0.9999999999999956,0.034083966273086366,0.03836954638735464,0.06749439588543199,0.026039133586900482,0.02697838681313879,0.030367956818566768,0.03249421077123416,0.008275475951528317,0.10778161148155904,0.010806579685774533,0.018416495732500444,0.03112471041490676,0.006997353283986634,0.07131575672603181,0.0234668997312697,0.014836377672669203,0.014033784801997807,0.0012474828108216996,0.00144661818513873,0.0,0.006562156308457836,0.017124248332115725,0.0,0.0032490864504504556,0.006101755684136016,0.005925933479604155,0.0,0.0
Delegado de Polícia (2023),0.034083966273086366,1.0000000000000007,0.10177357774962949,0.13068036105280767,0.04119820923886155,0.056476905366838616,0.01082094408286781,0.019910384434223515,0.07004470608227652,0.047162394777892386,0.012902908489722547,0.002440583124682457,0.018521837973467573,0.0010802677089847756,0.0070912072116678495,0.009070326007925051,0.009381822028646944,0.00976083787697611,0.002787200160281759,0.0017272423472696335,0.0,0.0032007168942315752,0.0,0.0,0.0,0.009088603211359085,0.0,0.0,0.0
Escrivão de Polícia (2023),0.03836954638735464,0.10177357774962949,0.9999999999999889,0.38203914632269687,0.08485773293539611,0.23389709680665174,0.02916646066187113,0.06372462197365011,0.06720588021634316,0.07438173252157748,0.009946010609856722,0.009629451275984078,0.018939926015314173,0.002260357905492448,0.020413619804832632,0.023471397530677517,0.017852581940122993,0.007523993304519151,0.004530204077430871,0.013310893519159648,0.0030045934560454174,0.004298505655618555,0.00469719666934571,0.002597140581401086,0.017340633624376045,0.004875519835151508,0.0027270144196981307,0.0012883369797797198,0.003579392396796984
Investigador de Polícia (2023),0.06749439588543199,0.13068036105280767,0.38203914632269687,0.9999999999999989,0.08167678366197652,0.21474159989845293,0.035562370954383825,0.059868346006207045,0.05866121533874065,0.09550601073013623,0.008303451505166091,0.015804261776960937,0.03530925648917179,0.00659228069714367,0.02715164608641228,0.025722965013186886,0.020529007185699815,0.011812037013922971,0.002074309696729602,0.004738761440459137,0.0,0.008169467999311536,0.0015172456615745798,0.0021682292243275065,0.0,0.00312560396183384,0.003794424531280868,0.0010755713072848972,0.006368160041686478
Perito Criminal (2023),0.026039133586900482,0.04119820923886155,0.08485773293539611,0.08167678366197652,0.999999999999995,0.21279892070997491,0.05096447858785405,0.025958052761023503,0.01803262304520929,0.03230008457657741,0.005481856080059278,0.08449458691974593,0.13085943203993583,0.01613572723710138,0.04311195024878826,0.02773837241944408,0.014951006784720245,0.013807938517009743,0.007513955876741667,0.025066852213317226,0.018371616309042573,0.008463584830669998,0.0026097915554300476,0.0028501136879508526,0.0,0.003861332102999858,0.006507293178167284,0.0028276535256189696,0.0114467485531441
Médico Legista (2023),0.02697838681313879,0.056476905366838616,0.23389709680665174,0.21474159989845293,0.21279892070997491,0.9999999999999966,0.044304000127272286,0.048647146917631355,0.03975547580621314,0.05613778318260111,0.008650792039409784,0.04531069193941477,0.05211346735993538,0.021838831947027355,0.023112362270109085,0.021469589676569683,0.017225916088536016,0.0041299494042721825,0.0016918146007722098,0.018983843296121978,0.027793200522722335,0.009544941691246443,0.003243790902009289,0.0,0.0,0.0032563506699060337,0.0044271782583228236,0.0,0.009687496738294794
Papiloscopista Policial (2017),0.030367956818566768,0.01082094408286781,0.02916646066187113,0.035562370954383825,0.05096447858785405,0.044304000127272286,0.9999999999999928,0.10465506219377156,0.09880292005541541,0.04843236060218885,0.011804897560990736,0.02365104646789071,0.01734406502027097,0.011127990242412594,0.019503714120332874,0.06901786221042648,0.01353462637881686,0.009475678816446842,0.0028660334690468357,0.022248594245691793,0.007385880710644704,0.05881171274617285,0.045389118682929684,0.001962962662990542,0.013156839137013482,0.0043189990769468565,0.007259416208401456,0.004407503754229953,0.012811937929944957
Auxiliar de Papiloscopista Policial (2017),0.03249421077123416,0.019910384434223515,0.06372462197365011,0.059868346006207045,0.025958052761023503,0.048647146917631355,0.10465506219377156,0.9999999999999973,0.11909154259317802,0.1508207246246875,0.030931029796150606,0.019868146814200772,0.029957571366374152,0.032243348986046846,0.009767924292370013,0.05886874035953874,0.01588890354398885,0.003953665055925565,0.0032097907513782237,0.0071153541018458095,0.0019414388521134655,0.04336185413591168,0.06534546290586221,0.0028297434173305425,0.0,0.004079207648778376,0.00498412662664342,0.00140372189089142,0.005482193743275826
Agente de Telecomunicações Policial (2017),0.008275475951528317,0.07004470608227652,0.06720588021634316,0.05866121533874065,0.01803262304520929,0.03975547580621314,0.09880292005541541,0.11909154259317802,1.0000000000000002,0.17316338060697012,0.02960164487558236,0.024250680342176208,0.024866625892933703,0.031182152962261362,0.012113940968911845,0.005493536898373839,0.00507495812357741,0.0,0.0017319575104466922,0.0026567228297894457,0.0,0.004104862440053938,0.0018650777425515018,0.018296789892468697,0.0,0.0030046231289718667,0.0014590224285658637,0.004135759317160105,0.0031557962615855234
Agente Policial (2017),0.10778161148155904,0.047162394777892386,0.07438173252157748,0.09550601073013623,0.03230008457657741,0.05613778318260111,0.04843236060218885,0.1508207246246875,0.17316338060697012,0.9999999999999996,0.026275951847173233,0.034501929787186386,0.039124502167017815,0.032578324861211115,0.02289676510087238,0.011595026729299391,0.013030630850771342,0.0,0.004441757510839084,0.0030760596482804006,0.0,0.0018218441621650826,0.0030139475811844117,0.003700273793067834,0.003295406104132786,0.002667058975526426,0.005180415242203754,0.0018355569956660907,0.008798848396422396
